,,,Not attended in past 2 weeks,,,,,,,,,,,,
Home AO or Visitor,Name,BD Count ,First BD,Last BD,Consistency,Listing,Cindy,Mug,Shirt,Cindy,,Mug,,Shirt,
,ConAir,1,2/19/2026,2/19/2026,17%,1,,,,,,,,,
,Cold Turkey,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Clover,1,11/28/2024,11/28/2024,0%,1,,,,,,,,,
,Chips,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,ChinaTown,1,8/26/2025,8/26/2025,1%,1,,,,,,,,,
,Cheney,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Cash,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Broke Back Mtn,1,7/18/2024,7/18/2024,0%,1,,,,,,,,,
,Boss Hogg,1,10/25/2025,10/25/2025,,,,,,,,,,,
,Borat,1,8/26/2025,8/26/2025,,,,,,,,,,,
,BoomBoom,1,8/26/2025,8/26/2025,,,,,,,,,,,
,Bobwire,1,10/26/2024,10/26/2024,,,,,,,,,,,
,Blue Steel,1,7/12/2025,7/12/2025,,,,,,,,,,,
,Asphalt,1,10/26/2024,10/26/2024,,,,,,,,,,,
,Arepas,1,10/26/2024,10/26/2024,,,,,,,,,,,
,Albatross,1,9/19/2025,9/19/2025,,,,,,,,,,,
,A.1,1,12/12/2025,12/12/2025,,,,,,,,,,,
,2 Buck Chuck,1,10/26/2024,10/26/2024,,,,,,,,,,,
,.decimal,1,10/26/2024,10/26/2024,,,,,,,,,,,
Grand Total,,4093,5/4/2024,2/27/2026,,,,,,,,,,,
